"","Major","Total"
"1","BUSINESS MANAGEMENT AND ADMINISTRATION",3123510
"2","GENERAL BUSINESS",2148712
"3","ACCOUNTING",1779219
"4","NURSING",1769892
"5","PSYCHOLOGY",1484075
"6","ELEMENTARY EDUCATION",1446701
"7","GENERAL EDUCATION",1438867
"8","MARKETING AND MARKETING RESEARCH",1114624
"9","ENGLISH LANGUAGE AND LITERATURE",1098647
"10","COMMUNICATIONS",987676
"11","BIOLOGY",839454
"12","FINANCE",816548
"13","COMPUTER SCIENCE",783292
"14","ECONOMICS",757616
"15","CRIMINAL JUSTICE AND FIRE PROTECTION",757141
"16","POLITICAL SCIENCE AND GOVERNMENT",748956
"17","HISTORY",712509
"18","SOCIOLOGY",674558
"19","ELECTRICAL ENGINEERING",671647
"20","LIBERAL ARTS",601221
